createdAt;createdBy;modifiedAt;modifiedBy;ID;friendlyID;title;description;IOTProjectID;customer_friendlyID;manager_userPrincipalName
2021-05-02T16:55:08.091Z;anonymous;2021-05-02T16:55:08.091Z;anonymous;020db38e-6449-4f97-a9ff-176e962966e4;Kommicockpit;Intorq Kommissioniercockpit;Fiori Entwicklung Kommi-Cockpit;749-INQ1601-Einführung-SAP-EWM;INQ;
2021-05-02T16:55:08.091Z;anonymous;2021-05-02T16:55:08.091Z;anonymous;b5cfe8cd-174f-4491-9e99-d81742725825;Versandcockpit;Versandcockpit;Intorq Versandcockpit;800-INQ1901-FIORI;INQ;
2021-05-02T16:55:08.091Z;anonymous;2021-05-02T16:55:08.091Z;anonymous;9f6c35c0-8b2e-46f8-832b-857e84c59240;Wartung;Intorq Wartung;Wartung EWM & Kommi-Cockpit;812-INQ2001-Wartung-&-Support;INQ;
2021-05-02T16:55:08.091Z;anonymous;2021-05-02T16:55:08.091Z;anonymous;6cbc3e99-169b-4abf-af2f-53b86b4db421;Fiori;Fiori bei Manufactum;B&B Erweiterung Reservierungsapp;837-MAN2102-Kleinstprojekte;MAN;
2021-05-02T16:55:08.091Z;anonymous;2021-05-28T15:28:42.083Z;benedikt.hoelker@iot-online.de;94243d69-41de-4485-8827-9688abb1b126;Filialapps;Frankonia Filialapps;Alles rund um die Filiale;810-FRA2001-ERP-AM;FRA;
2021-05-02T16:55:08.091Z;anonymous;2021-05-02T16:55:08.091Z;anonymous;1a3007e3-7adb-4416-82f3-f17ba16a0442;Fiori WS;Phoenix Contact;Fiori Einfuehrung;;Phoenix;
2021-05-02T16:55:08.091Z;anonymous;2021-05-02T16:55:08.091Z;anonymous;bef53567-8442-482b-aa43-28007e2385b8;Instandhaltungs-Mgmt;Vonovia;Handwerkerkopplung;848-VON2101-Handwerkerkopplung-2.0;Vonovia;
2021-05-02T16:55:08.091Z;anonymous;2021-05-02T16:55:08.091Z;anonymous;22dd878e-51f0-4f85-8e17-3fc14085d05f;FSS;Fiori Store Solutions;Filialwarenwirtschaft;827-CAS2003-Esprit-FSS-Rollout;Esprit;
2021-05-02T16:55:08.091Z;anonymous;2021-05-02T16:55:08.091Z;anonymous;12f84094-e2ef-4667-9165-e84a7199db73;Receipt4S;Receipt 4S;Bondatenarchivierung;830-CON-2001-Receipt4S-goes-Fiori;CSK;
2021-05-02T16:55:08.091Z;anonymous;2021-05-02T16:55:08.091Z;anonymous;dd752480-c2af-47ad-84ab-cad44fc25f42;FSDM UI;HCOB FSDM UI Generator;Erstellung von Elements Oberflaechen fuer FSDM;829-CAS-2004-Shipping,-Aviation,-Rail-(SAR)-@-HCOB;HCOB;
2021-05-02T16:55:08.091Z;anonymous;2021-05-02T16:55:08.091Z;anonymous;ddf29771-86bb-48d5-adac-962f6d3a75b8;Intern;Interne Aufschreibung;;835-IOT2101-Interne-Aufschreibung;IOT;
2021-05-02T16:55:08.091Z;anonymous;2021-05-02T16:55:08.091Z;anonymous;4571b2c7-17b8-44a3-8851-9ce5ddf90fff;Fiori;Fiori @ WSW Strategie;Einfuehrung von Fiori im Rahmen von S/4;844-WSW2101-Einführung-SAP-Fiori;WSW;
2021-05-02T16:55:08.091Z;anonymous;2021-05-02T16:55:08.091Z;anonymous;6df4c217-7b37-47c3-b213-062ec9b1ea19;RDF Fiori Migration;RDF Fiori Migration;;845-KEB2102-Fiori-Repair-Documentation-Framework;KEB;
