Projekt;Teilprojekt;Arbeitspaket
610-IOT1302-DUMMY;;
611-IOT1303-Pflege-eigener-Systeme;02-Projektaufschreibung;02-Datenmodellierung
611-IOT1303-Pflege-eigener-Systeme;02-Projektaufschreibung;02-Neue Funktion/Fehlerbehebung
611-IOT1303-Pflege-eigener-Systeme;02-Projektaufschreibung;03-App-Entwicklung
611-IOT1303-Pflege-eigener-Systeme;02-Projektaufschreibung;"04-	Deployment & Test"
611-IOT1303-Pflege-eigener-Systeme;02-Projektaufschreibung;"06-	Administratives & Abstimmung"
611-IOT1303-Pflege-eigener-Systeme;02-Projektaufschreibung;07-KnowHow-Transfer
611-IOT1303-Pflege-eigener-Systeme;02-Projektaufschreibung;
612-IOT1304-IT-Infrastruktur;01-Wartung und Verwaltung;03-Backup
612-IOT1304-IT-Infrastruktur;01-Wartung und Verwaltung;16-Rechner
612-IOT1304-IT-Infrastruktur;01-Wartung und Verwaltung;18-Infrastruktur
612-IOT1304-IT-Infrastruktur;02-Helpdesk;01-Störungen/Probleme
612-IOT1304-IT-Infrastruktur;02-Helpdesk;02-Service
612-IOT1304-IT-Infrastruktur;04-Beschaffung;02-Rechner
612-IOT1304-IT-Infrastruktur;04-Beschaffung;03-Infrastruktur
612-IOT1304-IT-Infrastruktur;04-Beschaffung;05-Sonstiges
612-IOT1304-IT-Infrastruktur;04-Beschaffung;
612-IOT1304-IT-Infrastruktur;06-SAP;01-Benutzerverwaltung
692-IOT1504-Produktentwicklung;17-Kontingentierung;01-Prozessaufnehmen/Konzeption
692-IOT1504-Produktentwicklung;60-FIORI generische Komponenten;"03-	Validierungs-Service"
692-IOT1504-Produktentwicklung;60-FIORI generische Komponenten;"06-	Barcodescanner"
692-IOT1504-Produktentwicklung;60-FIORI generische Komponenten;08-VH-Extension
692-IOT1504-Produktentwicklung;60-FIORI generische Komponenten;
692-IOT1504-Produktentwicklung;70-Projektunterstützung;01-Allgemein
692-IOT1504-Produktentwicklung;70-Projektunterstützung;18-Aktionssabwicklung und Preiskalkulation
692-IOT1504-Produktentwicklung;90-Support;01-Intern
717-IOT1603-Öffentlichkeitsarbeit;03-Marketing;02-Kalender
717-IOT1603-Öffentlichkeitsarbeit;03-Marketing;
722-MEZ1601-Wartung;01-Linux Gateway KIMM;01-Systemüberprüfung/Update Kontrolle
722-MEZ1601-Wartung;01-Linux Gateway KIMM;325-Ticket
722-MEZ1601-Wartung;01-Linux Gateway KIMM;326-Ticket
722-MEZ1601-Wartung;01-Linux Gateway KIMM;327-Ticket
722-MEZ1601-Wartung;01-Linux Gateway KIMM;328-Ticket
722-MEZ1601-Wartung;01-Linux Gateway KIMM;329-Ticket
722-MEZ1601-Wartung;01-Linux Gateway KIMM;330-Ticket
722-MEZ1601-Wartung;01-Linux Gateway KIMM;331-Ticket
722-MEZ1601-Wartung;01-Linux Gateway KIMM;332-Ticket
722-MEZ1601-Wartung;01-Linux Gateway KIMM;333-Ticket
722-MEZ1601-Wartung;01-Linux Gateway KIMM;334-Ticket
722-MEZ1601-Wartung;02-Wartung GUI;
727-MEZ1602-Einzelanforderungen;34-Thinclient Wareneingang;01-Durchführung
727-MEZ1602-Einzelanforderungen;37-Anpassung Pick-Listen Druck;01-Durchführung
727-MEZ1602-Einzelanforderungen;38-QR-Code Schweiz;01-Durchführung
727-MEZ1602-Einzelanforderungen;39-Anpassung John Lewis Label;01-Durchführung
727-MEZ1602-Einzelanforderungen;40-fehlende Verkaufsdaten bei Artikelübernahme;01-Durchführung
727-MEZ1602-Einzelanforderungen;41-Mengenabweichung Lager Ungarn;01-Durchführung
727-MEZ1602-Einzelanforderungen;41-Mengenabweichung Lager Ungarn;
727-MEZ1602-Einzelanforderungen;42-Ladeliste Galeria;01-Durchführung
727-MEZ1602-Einzelanforderungen;43-Sporadischer Fehlschlag bei JLP-Label Druck;01-Umsetzung
762-IOT1703-SAP-FIORI;00-Organisation;01-Koordination
762-IOT1703-SAP-FIORI;00-Organisation;02-Teamsitzung
781-BSS1801-FOR-Highbay-Renewal;08-EBE21-00997 Gasse 3 des HB2;
794-FRA1805-14425:-S/4HANA;10-IT Bereinigung;01-PM
794-FRA1805-14425:-S/4HANA;10-IT Bereinigung;02-Obsolete Objekte
794-FRA1805-14425:-S/4HANA;20-Archivierung;01-Abst. FB/IT
794-FRA1805-14425:-S/4HANA;20-Archivierung;02-Konz. / Archivierungsplan
794-FRA1805-14425:-S/4HANA;20-Archivierung;03-ILM
794-FRA1805-14425:-S/4HANA;20-Archivierung;
794-FRA1805-14425:-S/4HANA;26649 Einrichtung Businesspartner-Grundkonfig. und Abstimmung;01-Umsetzung
807-FRA1902-FR-Flilialpackplatz;20581-Cronopost Frankreich für Filialpacklatz;01-Umsetzung
807-FRA1902-FR-Flilialpackplatz;21963-La Poste für Filialpackplatz Frankreich;01-Umsetzung
807-FRA1902-FR-Flilialpackplatz;28785 Packplatz - Lettre Suivie (verfolgene Briefe);01-Umsetzung
807-FRA1902-FR-Flilialpackplatz;28789 Packplatz - Mazet Spedition;01-Umsetzung
807-FRA1902-FR-Flilialpackplatz;32451 - manueller Versand Übergangslösung;01-Umsetzung
810-FRA2001-ERP-AM;01-Koordination;01-PM
810-FRA2001-ERP-AM;01-Koordination;02-Abstimmung/Planung
810-FRA2001-ERP-AM;01-Koordination;03-Ticketstatus
810-FRA2001-ERP-AM;01-Koordination;04-Abstimmung FB
810-FRA2001-ERP-AM;01-Koordination;05-Abstimmung IT
810-FRA2001-ERP-AM;01-Koordination;06-Vorabstimmung zu Projekten
810-FRA2001-ERP-AM;02-Unterstützung FRA IT;01-KnowHow-Transfer
810-FRA2001-ERP-AM;02-Unterstützung FRA IT;02-Technische Störung
810-FRA2001-ERP-AM;02-Unterstützung FRA IT;03-Direktanfrage ohne Ticketbezug
810-FRA2001-ERP-AM;02-Unterstützung FRA IT;
810-FRA2001-ERP-AM;14558 Optimierung Sonderbestellcockpit;01-Umsetzung
810-FRA2001-ERP-AM;14654 Preissteuerung;01-Durchführung
810-FRA2001-ERP-AM;15297 Endlieferkennzeichen;01-Umsetzung
810-FRA2001-ERP-AM;18544 SAP Bezeichnungen der Betriebe kürzen und vereinheitlichen;01-Umsetzung
810-FRA2001-ERP-AM;19757 Kondiitonsvergleich EK/GH;01-Umsetzung
810-FRA2001-ERP-AM;19823 Falsche Anzeige in den SAP Transaktionen;01-Team Besprechung
810-FRA2001-ERP-AM;19823 Falsche Anzeige in den SAP Transaktionen;01-Umsetzung
810-FRA2001-ERP-AM;21247 Vermeidung I-Aufträge;01-Umsetzung
810-FRA2001-ERP-AM;21299 Fehleingaben bei Termin-Erfassung verrieglen;01-Umsetzung
810-FRA2001-ERP-AM;22441 Übersteuern der Ermittlung des Sperrig Kennzeichens;01-Umsetzung
810-FRA2001-ERP-AM;22830 Index Bestellentwicklung aktualisieren;01-Umsetzung
810-FRA2001-ERP-AM;22830 Index Bestellentwicklung aktualisieren;
810-FRA2001-ERP-AM;23347 Ablösung ZWEBTABEL;01-Umsetzung
810-FRA2001-ERP-AM;23521 SAP - ZMM_012 bitte den Betrieb 1163 zufügen;01-Umsetzung
810-FRA2001-ERP-AM;23795 P01 - Vorhandene WBK Daten im Kundenstamm löschen;01-Umsetzung
810-FRA2001-ERP-AM;24781 Errichtung eines neuen werksübergreifenden Materialstatus;01-Umsetzung
810-FRA2001-ERP-AM;25082 Texte Versandbestätigung;01-Umsetzung
810-FRA2001-ERP-AM;25145 Q Bestand bei Konsi-Artikeln in der md04 nicht sichtbar;01-Umsetzung
810-FRA2001-ERP-AM;25459 Verbuchung des Zahlungseingang von Amazon;01-Umsetzung
810-FRA2001-ERP-AM;25544 Verfügbarkeitsaussage im Shop 196199001;01-Umsetzung
810-FRA2001-ERP-AM;25947 Ausbau der Fiori App auf freie Artikel;01-Umsetzung
810-FRA2001-ERP-AM;26432 Kundeninformationsschreiben - Abhängigkeit zu V1 Steuerung;01-Umsetzung
810-FRA2001-ERP-AM;26808 Servicelevel (Umarex) in SAP abbilden;01-Umsetzung
810-FRA2001-ERP-AM;27109 P01 - Rücksendeschein Export;01-Umsetzung
810-FRA2001-ERP-AM;27109 P01 - Rücksendeschein Export;
810-FRA2001-ERP-AM;27170 Übermittlung Sperrig-KZ an KEP-DL;01-Umsetzung
810-FRA2001-ERP-AM;27241 Ablösung de MB* Transaktionen;01-Umsetzung
810-FRA2001-ERP-AM;27282 P01 - Anpassung der Versandkosten;01-Umsetzung
810-FRA2001-ERP-AM;27507 Änderung Zahlungsbedingung bei SEPA;01-Durchführung
810-FRA2001-ERP-AM;27656 Erstellung eines operativen dashboard customer service;01-Umsetzung
810-FRA2001-ERP-AM;27706 ZWM_077 Serialnummerstatus falsch;01-Umsetzung
810-FRA2001-ERP-AM;27765 Bereinigung Equipmentstammsätze;01-Umsetzung
810-FRA2001-ERP-AM;27801 Abfrage offene Bestellung des Lieferanten Api;01-Umsetzung
810-FRA2001-ERP-AM;27876 P01 - Suchmöglichkeiten erweitern um RatePay Verwendungszw;01-Umsetzung
810-FRA2001-ERP-AM;27883 P01 - Wertgrenzen für Freigabe auch bei Wertgutschriften;01-Umsetzung
810-FRA2001-ERP-AM;27887 SAP Stammdaten VTL und VWKZ nach Vertriebsweg;
810-FRA2001-ERP-AM;27954 Jobplanung Lieferläufe;01-Umsetzung
810-FRA2001-ERP-AM;27954 Jobplanung Lieferläufe;
810-FRA2001-ERP-AM;28084 Marktplätze: Änderung Drucker für Liefer- & Rücksendeschei;01-Umsetzung
810-FRA2001-ERP-AM;28108 P01 - Umsetzung manuelle Erstellung Retourenlabel;01-Umsetzung
810-FRA2001-ERP-AM;28108 P01 - Umsetzung manuelle Erstellung Retourenlabel;
810-FRA2001-ERP-AM;28148 Änderung aktiver Konditionssätze;01-Umsetzung
810-FRA2001-ERP-AM;28220 P01 - Anpassung der Logik zur automatischen Absage;01-Umsetzung
810-FRA2001-ERP-AM;28302 Amazon FBA;01-Umsetzung
810-FRA2001-ERP-AM;28333 Munitionsversand aus Filiale - Anpassungen Overnite;01-Umsetzung
810-FRA2001-ERP-AM;28361 Filialen automatisches Reservieren von KBs Fehler;01-Umsetzung
810-FRA2001-ERP-AM;28374 Marktplätze: Umstellung Bestandsupdates direkt aus SAP;01-Umsetzung
810-FRA2001-ERP-AM;28426 Änderung zfi_105 - Ergänzung der Datei;01-Umsetzung
